-0.61,-0.08,0.7,-13.45,13.54,-4.85,-0.53,0.77,0.33,-6.13,-1.65,-15.12,1
-0.62,-0.09,0.71,-12.1,11.68,-5.49,-0.51,0.8,0.36,-6.92,-5.95,-11.89,1
-0.63,-0.11,0.71,-11.71,8.96,-6.1,-0.51,0.81,0.36,-9.3,-4.05,-8.69,1
-0.64,-0.12,0.71,-10.24,6.01,-6.01,-0.53,0.81,0.36,-7.16,0.88,-7.13,1
-0.64,-0.12,0.71,-8.54,2.62,-5.15,-0.52,0.8,0.35,-3.75,-3.78,-4.15,1
-0.65,-0.11,0.69,-7.26,-0.09,-4.12,-0.53,0.78,0.34,-2.96,-5.0,-0.49,1
-0.66,-0.11,0.68,-8.02,-1.83,-2.41,-0.56,0.78,0.34,-5.55,-2.01,2.13,1
-0.66,-0.12,0.69,-5.49,-2.9,-1.8,-0.57,0.74,0.34,-5.03,-3.69,4.3,1
-0.67,-0.12,0.69,-1.28,-2.84,-2.04,-0.58,0.73,0.34,1.1,-1.28,1.16,1
-0.67,-0.12,0.72,2.62,-1.74,-2.23,-0.57,0.76,0.35,1.16,-2.04,1.83,1
-0.67,-0.09,0.73,1.46,-0.58,-1.37,-0.56,0.77,0.34,0.37,0.12,-0.18,1
-0.67,-0.1,0.72,-3.78,-0.15,0.37,-0.56,0.77,0.35,-1.28,1.83,-0.49,1
-0.66,-0.1,0.72,-6.07,1.77,1.92,-0.55,0.76,0.33,-1.52,2.1,-2.01,1
-0.64,-0.1,0.72,-4.33,3.48,1.83,-0.55,0.76,0.34,0.49,1.28,-3.81,1
-0.64,-0.11,0.72,-1.04,5.49,1.16,-0.54,0.76,0.34,1.68,0.88,-5.79,1
-0.64,-0.11,0.73,-0.52,6.46,1.1,-0.53,0.77,0.35,-0.06,1.89,-7.16,1
-0.64,-0.11,0.71,-3.54,6.52,2.2,-0.53,0.76,0.35,-1.46,3.41,-7.62,1
-0.64,-0.09,0.68,-8.02,5.64,3.45,-0.54,0.76,0.34,-3.75,5.46,-6.34,1
-0.64,-0.1,0.66,-8.29,4.63,3.81,-0.53,0.75,0.33,-4.02,4.3,-4.39,1
-0.63,-0.1,0.67,-5.95,2.32,3.17,-0.54,0.75,0.35,-0.82,2.07,-2.68,1
-0.63,-0.11,0.68,-3.26,0.46,2.29,-0.52,0.77,0.34,-0.4,1.8,-0.64,1
-0.63,-0.11,0.71,-4.18,-1.25,2.2,-0.52,0.77,0.35,-1.01,2.07,1.62,1
-0.62,-0.1,0.72,-5.24,-2.16,2.01,-0.52,0.77,0.37,-1.8,1.52,2.13,1
