0.83,-0.21,0.29,15.98,2.38,21.74,0.83,0.43,0.24,12.26,21.46,-3.17,8
0.83,-0.21,0.28,19.48,-0.34,17.93,0.83,0.42,0.22,14.7,18.32,-0.46,8
0.84,-0.19,0.27,23.14,-2.74,14.12,0.85,0.42,0.22,16.49,16.13,2.01,8
0.86,-0.19,0.28,25.4,-4.82,10.55,0.86,0.43,0.21,15.18,13.84,5.03,8
0.88,-0.18,0.31,25.12,-6.13,7.47,0.88,0.43,0.21,13.96,10.27,6.77,8
0.88,-0.17,0.31,22.38,-7.29,4.66,0.89,0.44,0.22,12.5,6.8,7.44,8
0.89,-0.17,0.31,17.53,-8.54,2.32,0.9,0.45,0.2,10.67,4.54,8.38,8
0.89,-0.17,0.32,12.32,-10.09,0.27,0.9,0.45,0.19,9.39,2.1,9.36,8
0.91,-0.19,0.33,9.12,-11.25,-1.31,0.91,0.47,0.19,6.22,1.04,10.52,8
0.91,-0.19,0.33,8.29,-11.77,-1.8,0.92,0.45,0.19,2.38,1.49,11.19,8
0.92,-0.22,0.34,8.81,-11.8,-1.13,0.92,0.44,0.18,3.05,2.35,11.68,8
0.92,-0.22,0.35,10.37,-10.95,0.15,0.93,0.44,0.18,7.35,2.71,11.04,8
0.92,-0.23,0.37,10.95,-9.82,1.86,0.91,0.44,0.19,13.6,3.41,10.0,8
0.91,-0.23,0.38,10.15,-8.66,2.84,0.9,0.47,0.2,14.3,3.57,8.81,8
0.91,-0.24,0.39,9.54,-7.71,3.29,0.9,0.48,0.23,12.53,4.54,7.93,8
0.92,-0.27,0.39,10.49,-6.13,4.54,0.93,0.49,0.22,8.78,7.56,6.74,8
0.92,-0.28,0.4,13.32,-3.63,7.59,0.91,0.46,0.2,6.25,10.76,5.06,8
0.92,-0.27,0.41,13.26,-1.37,11.16,0.9,0.45,0.22,14.76,12.23,3.45,8
0.93,-0.31,0.44,12.01,0.46,14.45,0.91,0.48,0.24,20.85,12.9,0.95,8
0.95,-0.34,0.45,15.64,4.91,18.84,0.94,0.49,0.22,11.04,19.42,-4.18,8
0.93,-0.34,0.44,16.71,9.91,25.82,0.91,0.49,0.23,11.43,27.35,-6.25,8
0.92,-0.36,0.45,14.15,12.38,32.53,0.9,0.5,0.27,22.07,30.12,-7.84,8
0.91,-0.36,0.46,14.24,14.36,37.38,0.9,0.48,0.29,28.78,30.79,-11.95,8
0.93,-0.42,0.46,20.09,17.68,42.01,0.92,0.52,0.27,24.21,38.32,-14.36,8
0.96,-0.49,0.46,44.12,24.73,48.66,0.91,0.53,0.26,14.21,47.35,-15.49,8
0.94,-0.46,0.5,66.19,31.74,57.1,0.9,0.5,0.28,31.4,53.38,-18.32,8
0.9,-0.4,0.53,62.96,35.15,63.26,0.87,0.5,0.31,50.09,56.43,-21.95,8
0.92,-0.45,0.57,56.62,37.68,69.39,0.88,0.59,0.32,53.23,59.73,-27.32,8
0.97,-0.6,0.61,73.32,43.66,81.19,0.94,0.66,0.25,32.32,74.27,-31.89,8
0.98,-0.58,0.64,96.55,51.25,94.18,0.92,0.67,0.27,50.21,94.91,-29.91,8
0.93,-0.48,0.67,98.2,56.16,105.55,0.84,0.64,0.35,84.76,102.38,-33.14,8
0.93,-0.55,0.78,97.01,59.97,115.0,0.8,0.69,0.38,103.23,99.18,-40.06,8
