0.62,-0.63,0.43,-4.15,2.04,12.59,0.55,0.52,0.64,-3.54,9.42,0.27,5
0.63,-0.63,0.43,4.42,1.22,10.88,0.57,0.52,0.65,2.96,8.84,0.73,5
0.64,-0.63,0.42,15.21,2.41,9.12,0.57,0.5,0.66,7.8,8.08,1.13,5
0.66,-0.63,0.43,20.12,2.56,7.53,0.61,0.53,0.65,10.03,7.8,2.29,5
0.67,-0.61,0.43,20.73,1.8,7.38,0.61,0.51,0.64,11.77,8.57,2.26,5
0.67,-0.58,0.42,17.38,0.91,8.93,0.61,0.5,0.63,6.86,8.87,2.13,5
0.66,-0.59,0.42,11.74,0.58,10.88,0.61,0.5,0.63,4.88,9.76,1.68,5
0.67,-0.59,0.41,8.87,0.43,10.79,0.6,0.48,0.64,5.91,8.35,1.19,5
0.66,-0.59,0.41,11.28,2.5,9.12,0.59,0.47,0.64,6.65,6.95,0.49,5
0.65,-0.57,0.4,12.44,3.72,6.55,0.6,0.47,0.63,5.06,5.98,0.7,5
0.64,-0.56,0.41,11.04,2.84,4.63,0.57,0.48,0.64,6.74,4.97,0.15,5
0.63,-0.55,0.41,7.1,1.13,3.17,0.57,0.49,0.65,7.5,3.08,-0.03,5
0.64,-0.56,0.41,-0.61,-1.01,3.81,0.59,0.48,0.64,5.61,1.01,0.12,5
0.66,-0.59,0.43,-1.71,0.15,2.56,0.59,0.49,0.65,-0.09,-0.24,-0.24,5
0.65,-0.6,0.43,-1.8,2.26,1.83,0.59,0.48,0.64,-3.38,0.27,-0.4,5
0.63,-0.59,0.44,-3.9,2.62,1.89,0.57,0.48,0.65,-2.68,0.91,-2.16,5
0.63,-0.6,0.42,-8.38,2.1,2.68,0.56,0.49,0.67,-1.34,0.37,-2.74,5
0.62,-0.62,0.43,-9.12,2.8,2.23,0.56,0.5,0.66,-2.26,-0.43,-2.47,5
0.62,-0.63,0.44,-9.45,3.02,2.87,0.56,0.5,0.66,-0.85,-0.49,-1.43,5
0.62,-0.63,0.44,-11.04,2.8,4.36,0.57,0.5,0.68,-2.13,1.46,-3.41,5
0.63,-0.65,0.45,-14.76,2.68,7.44,0.57,0.49,0.67,-3.87,2.71,-4.54,5
0.63,-0.67,0.44,-18.41,2.93,10.3,0.57,0.49,0.68,-3.23,4.48,-5.12,5
0.62,-0.67,0.43,-20.12,3.66,13.69,0.57,0.49,0.67,-3.57,7.9,-5.61,5
0.63,-0.68,0.44,-23.57,4.36,18.6,0.58,0.5,0.68,-3.17,10.37,-5.12,5
0.61,-0.67,0.42,-34.12,2.2,24.36,0.57,0.51,0.69,-1.68,13.51,-5.67,5
0.6,-0.65,0.39,-58.54,-3.17,35.98,0.58,0.52,0.72,-4.57,15.55,-6.92,5
0.64,-0.74,0.38,-97.5,-10.55,54.73,0.61,0.55,0.77,-5.24,13.29,-5.55,5
0.66,-0.78,0.36,-139.79,-17.74,69.88,0.67,0.56,0.8,-9.6,12.74,-4.33,5
