1.07,-0.49,0.4,26.19,20.12,94.76,0.75,0.75,0.31,49.12,84.21,-43.08,1
1.1,-0.59,0.46,39.12,31.86,104.02,0.68,0.75,0.37,57.32,90.18,-54.7,1
1.04,-0.57,0.49,45.0,45.43,108.87,0.62,0.82,0.39,66.04,91.07,-69.05,1
0.98,-0.61,0.56,32.38,48.57,117.71,0.54,0.94,0.35,64.63,91.74,-80.85,1
1.02,-0.68,0.55,29.57,47.26,126.43,0.56,1.09,0.4,59.3,101.46,-86.8,1
1.03,-0.72,0.57,46.28,57.8,132.2,0.59,1.0,0.45,39.42,110.03,-93.72,1
1.04,-0.72,0.57,56.34,67.71,137.74,0.56,0.89,0.38,37.35,114.48,-106.95,1
1.03,-0.71,0.55,52.13,76.13,143.48,0.5,0.93,0.41,58.2,112.44,-119.36,1
1.0,-0.7,0.55,39.09,79.54,150.34,0.49,0.99,0.44,65.09,109.42,-131.95,1
0.98,-0.74,0.53,43.87,85.09,155.55,0.47,1.07,0.45,47.44,109.7,-140.09,1
0.99,-0.83,0.49,61.74,90.06,158.32,0.49,1.1,0.44,47.84,117.01,-148.11,1
1.0,-0.84,0.54,83.32,101.89,157.59,0.44,1.03,0.43,50.27,121.55,-150.98,1
1.0,-0.89,0.63,79.09,103.87,164.51,0.41,1.13,0.38,69.54,124.88,-161.16,1
0.99,-0.92,0.67,86.43,103.63,173.51,0.35,1.31,0.42,84.7,128.23,-171.19,1
0.92,-0.95,0.74,110.06,120.7,172.04,0.27,1.34,0.47,74.42,131.83,-181.92,1
0.9,-0.93,0.92,144.24,143.6,167.35,0.14,1.29,0.4,51.83,133.05,-191.31,1
0.83,-0.89,0.98,150.67,163.17,165.43,0.04,1.3,0.37,71.86,124.15,-205.21,1
0.74,-0.83,0.94,140.73,174.18,167.16,-0.03,1.34,0.41,77.16,117.8,-220.73,1
0.69,-0.8,0.96,145.67,186.65,165.3,-0.05,1.38,0.38,67.13,113.08,-229.6,1
0.59,-0.78,0.89,140.85,201.04,159.27,-0.13,1.34,0.4,60.61,112.23,-234.94,1
0.57,-0.76,0.91,153.81,219.97,146.01,-0.16,1.27,0.39,54.79,104.57,-237.04,1
0.51,-0.65,0.84,179.02,238.99,127.62,-0.17,1.15,0.33,40.24,104.63,-241.52,1
0.44,-0.45,0.82,175.18,251.77,112.8,-0.22,1.06,0.26,38.84,100.61,-242.07,1
0.32,-0.4,0.77,154.15,255.85,104.39,-0.27,1.07,0.24,49.97,87.26,-241.55,1
0.25,-0.35,0.71,142.07,253.6,94.85,-0.29,0.99,0.27,41.59,83.35,-236.92,1
0.16,-0.26,0.62,133.84,253.05,82.38,-0.29,0.85,0.2,30.61,76.98,-226.62,1
-0.01,-0.21,0.52,138.35,246.65,66.43,-0.38,0.77,0.19,33.38,74.15,-222.07,1
-0.14,-0.11,0.41,134.48,238.93,48.51,-0.5,0.64,0.16,44.18,62.77,-211.49,1
-0.26,-0.05,0.34,136.55,233.14,29.21,-0.55,0.58,0.1,51.34,47.13,-193.17,1
-0.41,0.04,0.36,130.3,223.38,11.19,-0.6,0.49,0.02,46.4,37.68,-178.17,1
-0.42,0.03,0.37,111.62,202.32,1.13,-0.65,0.53,-0.02,56.22,22.16,-170.37,1
-0.44,0.01,0.34,77.8,188.63,-4.18,-0.61,0.58,0.1,50.79,15.46,-151.8,1
-0.6,0.02,0.27,50.98,166.95,-7.01,-0.64,0.54,0.07,15.18,14.48,-137.38,1
-0.76,-0.04,0.18,30.18,141.37,-4.82,-0.83,0.4,-0.01,-2.44,16.98,-125.55,1
-0.84,0.05,0.11,5.34,117.9,-8.87,-0.87,0.28,-0.02,-8.35,10.27,-99.27,1
-1.1,0.22,-0.16,-7.96,81.62,-16.19,-0.95,0.2,-0.02,-11.4,2.62,-80.15,1
-1.35,0.19,-0.18,-35.46,43.75,-17.23,-1.28,0.01,-0.14,-36.59,-21.65,-55.27,1
-1.1,0.12,-0.01,-6.59,15.91,-33.11,-1.15,-0.01,-0.1,-25.95,-51.68,-16.25,1
-1.08,0.25,-0.05,73.6,-5.88,-82.13,-0.9,0.6,0.04,33.66,-69.42,13.05,1
-0.8,0.15,0.06,95.98,-54.05,-97.16,-0.75,0.51,-0.24,38.69,-84.39,61.98,1
-0.59,-0.05,0.08,58.78,-107.29,-80.24,-0.51,0.53,0.06,46.46,-79.63,95.67,1
-0.5,-0.06,0.28,24.15,-160.52,-58.02,-0.49,0.62,0.03,59.73,-63.35,116.62,1
-0.17,-0.01,0.7,-44.66,-176.83,-40.95,-0.45,0.73,-0.07,91.65,-49.57,118.45,1
0.08,-0.05,0.99,2.8,-158.51,-48.66,-0.33,0.77,-0.25,80.67,-22.13,103.63,1
-0.03,0.1,0.95,-10.18,-147.38,-37.35,-0.32,0.67,-0.2,23.78,-8.81,77.1,1
-0.22,0.43,0.09,-69.6,-171.43,6.37,-0.26,0.36,-0.31,-129.51,9.85,72.56,1
0.48,-0.1,0.35,8.17,-122.41,34.57,0.18,-0.93,-0.41,-149.66,59.97,60.64,1
0.72,-0.4,0.05,53.81,-38.57,51.34,0.32,-0.95,-0.87,126.34,34.09,7.13,1
0.71,-0.36,0.69,39.09,115.18,60.52,0.01,0.61,-0.33,290.79,37.2,-53.99,1
0.0,0.34,1.39,38.41,152.93,72.71,-0.46,0.9,0.25,134.66,68.87,-99.48,1
-0.22,0.41,1.24,26.22,161.01,72.68,-0.53,1.2,0.18,-94.12,91.83,-125.67,1
-0.37,0.25,0.88,-29.33,157.99,75.82,-0.68,0.65,-0.16,-111.28,80.27,-144.27,1
-0.64,0.09,0.63,-69.79,155.88,81.13,-0.98,0.2,-0.27,-52.99,55.46,-145.79,1
-1.06,0.02,0.16,-55.12,152.32,72.87,-1.13,0.07,-0.04,10.15,58.96,-151.31,1
-1.73,0.23,-0.37,-11.62,137.5,46.68,-1.59,0.05,-0.02,7.23,53.81,-137.2,1
-2.51,0.4,-0.7,-20.3,87.62,12.2,-2.21,-0.1,-0.22,-34.15,22.9,-63.54,1
-2.56,0.39,-0.31,12.5,41.04,-21.19,-2.54,-0.52,-0.58,-50.12,-30.09,14.36,1
-1.49,0.05,0.3,137.47,24.73,-55.24,-1.7,-0.45,-0.34,61.89,-82.1,45.64,1
-1.15,0.5,0.07,224.3,-21.22,-111.74,-0.41,1.69,0.18,138.48,-75.67,78.26,1
-1.02,0.03,0.22,54.05,-127.38,-61.25,-1.06,1.06,-0.49,78.99,-50.4,107.1,1
-1.02,0.04,0.51,-31.46,-196.98,-22.8,-1.18,0.23,-0.02,8.69,-40.09,145.43,1
-0.61,0.16,0.81,15.98,-176.37,-51.37,-0.72,0.89,0.18,75.06,-51.59,139.15,1
-0.28,-0.04,0.79,36.31,-173.54,-59.27,-0.66,0.65,-0.25,36.77,-25.76,116.71,1
-0.17,0.23,0.24,-7.56,-207.13,-43.75,-0.34,-0.07,-0.58,-51.4,-5.09,114.85,1
0.06,0.47,-0.24,-2.8,-203.35,-2.38,0.04,0.12,-0.46,-95.82,15.91,148.45,1
0.71,-0.2,0.47,83.08,-125.76,12.96,0.21,-1.04,-0.48,40.46,0.73,111.77,1
0.54,0.18,0.65,175.61,-12.84,8.9,0.2,-0.13,-0.84,269.94,-17.04,38.72,1
0.3,0.4,1.02,125.55,28.38,28.41,-0.11,0.98,-0.52,232.26,15.95,3.26,1
-0.14,0.59,1.07,72.41,44.73,45.37,-0.25,1.18,-0.23,89.09,51.74,-27.56,1
-0.08,0.61,0.87,42.1,51.16,45.18,-0.31,0.87,-0.38,-20.37,71.68,-35.55,1
-0.11,0.52,0.74,16.8,52.23,37.13,-0.42,0.56,-0.59,-21.25,48.66,-26.68,1
-0.4,0.5,0.72,13.35,57.16,27.87,-0.57,0.41,-0.47,14.48,15.34,-33.11,1
-0.54,0.53,0.74,19.45,58.05,20.4,-0.73,0.52,-0.43,44.12,-1.01,-40.27,1
-0.4,0.52,0.75,12.35,55.0,15.55,-0.6,0.79,-0.44,38.87,-4.36,-31.74,1
-0.31,0.52,0.81,-0.15,53.57,7.41,-0.48,0.83,-0.4,23.26,-6.31,-27.68,1
-0.52,0.4,0.92,-0.15,52.38,-5.67,-0.72,0.78,-0.25,4.45,-11.43,-37.68,1
-0.59,0.32,0.78,11.43,53.99,-28.78,-0.81,0.84,-0.13,-1.8,-20.27,-35.37,1
-0.45,0.26,0.73,57.38,64.6,-63.2,-0.71,0.66,-0.03,29.12,-40.15,-25.46,1
-0.45,0.31,0.94,94.85,85.24,-94.24,-0.64,0.57,-0.19,50.91,-71.46,-30.09,1
-0.62,0.31,1.17,110.46,99.48,-117.87,-0.94,0.79,-0.24,70.24,-89.54,-48.08,1
-0.84,0.28,1.05,122.87,98.96,-139.39,-1.09,0.96,-0.13,69.54,-96.59,-57.5,1
-0.85,0.2,0.79,134.15,92.74,-153.81,-1.03,0.87,-0.09,60.82,-102.9,-65.15,1
-0.77,0.12,0.87,143.48,95.12,-167.07,-0.98,0.73,-0.18,74.27,-111.8,-48.32,1
-0.82,0.13,1.08,163.23,103.48,-187.87,-1.17,0.68,-0.04,145.43,-140.3,-57.1,1
-1.05,-0.11,0.92,190.79,105.52,-203.2,-1.26,0.65,0.1,160.43,-151.37,-74.76,1
-1.15,-0.27,0.63,226.28,94.79,-202.68,-1.24,0.62,-0.04,163.78,-141.71,-78.9,1
-1.2,-0.35,0.45,253.93,90.03,-193.17,-1.36,0.54,-0.29,200.88,-118.96,-55.15,1
-1.19,-0.3,0.66,276.13,80.03,-175.0,-1.33,0.48,-0.1,236.31,-117.56,-36.34,1
-1.21,-0.3,0.71,291.68,74.33,-159.27,-1.29,0.54,0.21,273.93,-123.75,-38.93,1
-1.22,-0.43,0.62,293.63,67.01,-145.91,-1.22,0.55,0.3,280.09,-106.83,-46.74,1
-1.21,-0.51,0.5,278.6,52.8,-126.83,-1.2,0.52,0.27,243.6,-81.16,-28.29,1
-1.2,-0.52,0.47,259.09,40.4,-111.37,-1.3,0.45,0.32,227.29,-56.68,-15.12,1
-1.16,-0.51,0.44,232.47,30.03,-95.18,-1.27,0.31,0.36,223.41,-48.45,-3.99,1
-1.11,-0.55,0.31,228.38,29.97,-86.28,-1.17,0.19,0.36,210.61,-41.04,1.68,1
-1.07,-0.5,0.34,219.82,32.26,-75.18,-1.15,0.17,0.29,198.96,-34.76,-0.24,1
-1.03,-0.44,0.43,211.65,32.99,-64.6,-1.19,0.19,0.27,202.01,-40.52,-8.63,1
-1.0,-0.42,0.43,212.38,40.21,-61.34,-1.11,0.23,0.38,208.2,-36.4,-10.95,1
-0.93,-0.42,0.41,198.38,41.55,-51.01,-1.03,0.25,0.33,189.97,-32.26,-17.41,1
-0.94,-0.45,0.27,188.72,41.74,-41.52,-0.99,0.23,0.27,180.85,-22.26,-18.63,1
-0.94,-0.49,0.15,179.24,41.34,-32.23,-1.03,0.11,0.27,169.82,-10.67,-14.73,1
-0.94,-0.42,0.17,172.47,41.89,-24.66,-1.02,0.0,0.22,161.07,-7.74,-13.54,1
-0.86,-0.36,0.24,171.37,43.17,-20.67,-0.97,0.04,0.24,160.37,-9.42,-13.05,1
-0.88,-0.34,0.16,166.01,41.19,-18.26,-0.96,0.2,0.23,173.05,-9.51,-16.4,1
-0.85,-0.38,0.09,148.9,35.58,-10.24,-0.94,0.12,0.19,145.79,1.71,-8.2,1
-0.87,-0.36,0.11,138.05,35.95,-4.54,-0.92,0.0,0.14,129.73,17.77,-5.7,1
-0.88,-0.31,0.11,143.6,39.63,-6.34,-0.97,-0.0,0.16,136.92,20.4,-9.54,1
-0.94,-0.23,0.01,138.51,41.31,-7.01,-0.98,-0.02,0.12,140.52,18.96,-10.82,1
-1.06,-0.14,-0.17,127.77,36.19,-7.62,-1.03,-0.09,-0.01,124.79,18.6,-8.51,1
-1.24,-0.07,-0.31,112.68,24.6,-8.63,-1.19,-0.13,-0.06,111.46,8.93,-3.29,1
-1.55,0.0,-0.67,99.88,1.01,-19.12,-1.37,-0.25,-0.08,87.9,1.31,11.68,1
-1.9,0.1,-0.93,87.9,-42.38,-33.23,-1.7,-0.39,-0.1,70.55,-40.64,34.94,1
-1.94,0.07,-1.08,92.53,-106.31,-54.02,-1.77,-0.3,-0.15,89.88,-99.18,78.78,1
-1.6,0.13,-0.94,100.79,-172.32,-65.95,-1.59,-0.1,-0.26,105.46,-155.15,127.87,1
-1.03,0.03,-0.43,112.13,-231.83,-74.05,-1.06,0.16,-0.04,96.68,-173.84,182.29,1
-0.68,0.03,0.14,105.24,-270.82,-75.3,-0.92,0.5,0.15,124.7,-175.55,198.45,1
-0.13,-0.05,0.81,86.07,-287.53,-79.09,-0.62,0.7,0.32,127.1,-169.85,196.37,1
0.32,-0.24,1.45,91.46,-252.68,-78.08,-0.26,0.91,0.47,128.45,-160.88,174.73,1
0.3,-0.41,1.45,104.45,-201.95,-64.21,-0.08,0.44,0.38,58.54,-116.74,118.14,1
0.24,0.22,0.02,89.97,-214.7,-25.7,0.14,-0.03,-0.2,-164.3,-23.63,108.63,1
0.93,-0.09,0.18,53.78,-104.18,20.15,0.3,-0.71,-0.54,-113.05,41.59,93.32,1
0.9,-0.04,0.68,23.81,2.1,34.66,0.46,-0.78,-0.61,155.18,-18.93,-0.95,1
0.82,-0.06,0.82,-23.78,111.83,38.93,0.14,0.23,-0.04,213.32,8.99,-96.28,1
0.18,-0.07,1.02,-68.87,191.65,50.06,-0.27,0.41,0.36,111.37,70.91,-144.48,1
-0.19,-0.11,1.11,-66.25,225.73,48.41,-0.65,0.68,0.39,-37.53,126.52,-146.8,1
-0.38,-0.18,0.95,-53.81,240.82,47.26,-0.91,0.63,0.32,-63.41,134.05,-163.9,1
-0.66,-0.02,0.64,-32.99,248.99,33.96,-1.12,0.39,0.24,-31.71,125.64,-179.12,1
-1.11,-0.06,0.24,-28.81,253.02,22.13,-1.33,0.16,0.3,-42.56,114.24,-194.3,1
-1.63,-0.07,-0.24,-53.78,230.46,10.12,-1.73,-0.01,0.13,-55.15,104.15,-193.75,1
-2.15,-0.23,-0.76,-74.79,184.85,-1.34,-2.17,-0.25,0.01,-58.05,65.82,-169.24,1
-2.78,-0.34,-1.17,-93.35,115.58,-18.26,-2.57,-0.46,-0.01,-57.5,6.89,-122.74,1
-2.72,-0.24,-1.01,-83.14,46.89,-26.34,-2.47,-0.56,-0.03,-54.15,-40.95,-49.24,1
-2.07,-0.06,-0.81,-33.23,-25.12,-40.3,-1.86,0.17,-0.1,30.06,-79.85,7.53,1
-1.73,-0.17,-0.8,-8.2,-94.36,-52.1,-1.5,0.26,-0.24,11.62,-84.45,63.29,1
-1.66,-0.23,-0.79,16.8,-160.88,-65.37,-1.56,-0.15,-0.01,-22.59,-88.45,120.95,1
-1.37,-0.14,-0.65,40.88,-220.73,-84.3,-1.35,-0.24,0.11,2.74,-138.08,145.85,1
-0.54,-0.06,-0.07,52.01,-265.58,-88.81,3.18,-0.6,0.52,130.64,-220.88,-164.51,1
0.14,-0.57,0.78,56.1,-256.59,-112.77,0.32,0.9,0.16,178.78,-182.16,193.93,1
0.39,-0.25,0.95,39.57,-258.11,-80.95,0.65,0.78,0.16,33.32,-111.92,197.32,1
0.49,-0.3,0.82,31.52,-216.65,-36.74,0.06,-0.17,-0.08,-154.88,-64.85,139.24,1
0.24,0.36,-0.27,27.93,-193.96,7.62,0.39,-0.79,-0.32,-181.46,-0.46,113.29,1
0.88,-0.33,0.0,-38.51,-114.48,50.18,0.29,-0.68,-0.73,22.23,-34.6,62.9,1
0.64,-0.15,0.21,-27.01,-20.24,72.68,0.04,-0.03,-0.62,203.11,-20.46,19.18,1
